nuts_id,name_latn,lat,lon
HU110,Budapest,47.5269,19.09
HU120,Pest,47.5266,19.494
HU211,Fejér,47.1602,18.5522
HU212,Komárom-Esztergom,47.5644,18.2453
HU213,Veszprém,47.0794,17.6764
HU221,Győr-Moson-Sopron,47.6892,17.1838
HU222,Vas,47.0794,16.7967
HU223,Zala,46.6801,16.8123
HU231,Baranya,46.0802,18.2234
HU232,Somogy,46.3808,17.5725
HU233,Tolna,46.4837,18.4767
HU311,Borsod-Abaúj-Zemplén,48.0853,20.9434
HU312,Heves,47.77,20.0952
HU313,Nógrád,48.0012,19.4662
HU321,Hajdú-Bihar,47.3757,21.4789
HU322,Jász-Nagykun-Szolnok,47.2165,20.5195
HU323,Szabolcs-Szatmár-Bereg,47.9955,21.9997
HU331,Bács-Kiskun,46.5054,19.3719
HU332,Békés,46.6995,21.0253
HU333,Csongrád-Csanád,46.4384,20.2274
